SubmissionDate,start,end,Type_of_settlement,Host_community_Name,Infrastructure_type,Other_Category,General_information-Map_Code,General_information-Identification_Code,General_information-General_Picture,General_information-Mobile_GPS-Latitude,General_information-Mobile_GPS-Longitude,General_information-Mobile_GPS-Altitude,General_information-Mobile_GPS-Accuracy,General_information-GPS_Latitude,General_information-GPS_Longitude,General_information-GPS_Height,General_information-Organization_Name,Power_system-Power_System_Type,Power_system-Other_type,Power_system-Power,Power_system-Ownership,Power_system-Ownership_Name,Waste_Managment-Type_of_waste_collection_point,Waste_Managment-pick_up_evaluation-Dimension,Waste_Managment-pick_up_evaluation-Shelter_distance,Waste_Managment-pick_up_evaluation-Cover_and_Handle,Waste_Managment-pick_up_evaluation-Served_Households,Waste_Managment-Minimal_height,Transport_Details-Type_of_station,Transport_Details-Type_of_mobility,Transport_Details-Other_type_001,Transport_Details-External_mobility_detail,water_supply-Type_of_infrastructure_water,water_supply-Other_type_002,water_supply-Capactity,water_supply-Continued_availability_001,water_supply-Availability_moths,water_supply-Type_of_water_supply,water_supply-Water_Distributionn_Point_Deta-Continued_availability_Water_tanks,water_supply-Water_Distributionn_Point_Deta-Continued_availability,water_supply-Water_Distributionn_Point_Deta-Availability_moths_001,water_supply-Water_Distributionn_Point_Deta-Well_Depth,water_supply-Water_Distributionn_Point_Deta-Pump_Power,Sanitation-Sanitation_Infrastructure_Type,Sanitation-Other_Type_003,Sanitation-Communal_latrine_details-Number_of_Latrine,Sanitation-Communal_latrine_details-Type_of_latrine_1,Sanitation-Communal_latrine_details-Type_of_latrine_2,Sanitation-Communal_latrine_details-Type_of_latrine_3,Sanitation-Communal_latrine_details-quality_evaluation-Washing_Hand,Sanitation-Communal_latrine_details-quality_evaluation-Insect_screen,Sanitation-Communal_latrine_details-quality_evaluation-Proper_door,Sanitation-Communal_latrine_details-quality_evaluation-Suitable_slabs,Sanitation-Communal_latrine_details-quality_evaluation-Healthiness,Sanitation-Communal_latrine_details-quality_evaluation-Lighting,Sanitation-Communal_latrine_details-quality_evaluation-Type_Lighting,Sanitation-Communal_latrine_details-quality_evaluation-Hygienic_devices_for_women,Sanitation-Communal_latrine_details-quality_evaluation-Separed_unit_by_sex,Sanitation-Communal_latrine_details-Latrine_discharge,Washing_Area-Number_of_taps,Washing_Area-Water_Source_001,Washing_Area-Other_Type_004,Washing_Area-Washing_discharge,Washing_Area-Lighting_Washing_area,Washing_Area-Type_Lighting_001,Washing_Area-Open_Time,Washing_Area-Use_per_household,Communal_Shower-Number_of_showers,Communal_Shower-Water_Source,Communal_Shower-Other_Type_005,Communal_Shower-Separed_unit_by_sex_001,Communal_Shower-Shower_discharge,Communal_Shower-Lighting_001,Communal_Shower-Type_Lighting_002,Communal_Shower-Open_Time_001,Street_lighting_details-Street_Light_Type,Street_lighting_details-Working_luminaire,Street_lighting_details-Techology_used,Street_lighting_details-Other_Luminaire_type,Something_to_add,meta-instanceID,KEY
29/10/2018 10:59:03,24/10/2018 10:56:34,29/10/2018 10:51:08,refuee_camp,"",street_light,"",2.3,257,media\1540371415727.jpg,"","","","",14,10,27.55,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"",Solar 10w,uuid:141f9b83-53dd-4466-8d04-f91e850102a6,uuid:141f9b83-53dd-4466-8d04-f91e850102a6
29/10/2018 10:59:05,24/10/2018 14:30:33,24/10/2018 14:40:38,host_community,Shimelba,water,"",1.5,304,media\1540384296634.jpg,"","","","",14,9,56.03,Arra,"","","","","","","","","","","","","","","",other,Septick tank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7x5m,uuid:96b518bd-ae7e-4232-a944-1ca1c0052f67,uuid:96b518bd-ae7e-4232-a944-1ca1c0052f67
29/10/2018 10:59:07,24/10/2018 14:54:24,24/10/2018 14:56:08,host_community,Shimelba,street_light,"",1.2,308,media\1540385692783.jpg,"","","","",14,10,5.21,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"",Solar 10 w,uuid:bd6fd1a2-29a7-40e2-8929-24c2360647b1,uuid:bd6fd1a2-29a7-40e2-8929-24c2360647b1
29/10/2018 10:59:39,24/10/2018 15:05:20,24/10/2018 15:10:02,host_community,Shimelba,street_light,"",1.4,313,media\1540386346580.jpg,"","","","",14,10,15.16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",vial,no,led,"",Solar 10w,uuid:f5042afb-1ec0-45e3-8612-d2fc6acc2094,uuid:f5042afb-1ec0-45e3-8612-d2fc6acc2094
29/10/2018 11:02:49,24/10/2018 15:01:19,24/10/2018 15:05:09,host_community,Shimelba,water,"",1.4,309,media\1540386251012.jpg,"","","","",14,10,14.82,"","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6 taps,uuid:3690ff3f-917d-4f92-a491-7f3c333d6500,uuid:3690ff3f-917d-4f92-a491-7f3c333d6500
29/10/2018 11:02:55,24/10/2018 16:20:02,24/10/2018 16:26:02,host_community,Maikulili,diesel_group,"",Host,509,media\1540391126996.jpg,"","","","",14,12,57.69,"",dieses_generatiors,"",0.9,private,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:2563a61b-6a97-494e-aca9-2a8d7b4ceb59,uuid:2563a61b-6a97-494e-aca9-2a8d7b4ceb59
05/11/2018 18:37:30,24/10/2018 8:31:52,05/11/2018 18:11:09,refuee_camp,"",washing_areas,"",5.2,101,media\1540362732689.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12,other,"",sewage_network,no,"",6_00_8_00 8_00_10_00 10_00_12_00 12_00_16_00 16_00_18_00 18_00_20_00 20_00_22_00 22_00_00_00 00_00_6_00,"","","","","","","","","","","","","",It looks that they are not using it,uuid:c9427da1-0da7-48fe-ab97-ca8d9487eef4,uuid:c9427da1-0da7-48fe-ab97-ca8d9487eef4
05/11/2018 18:37:34,24/10/2018 8:35:43,05/11/2018 18:12:49,refuee_camp,"",community_showers,"",5.2,104,media\1540362973210.jpg,"","","","","","","",IRC,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12,other,The bring the water,no,sewage_network,no,"",6_00_8_00 8_00_10_00 10_00_12_00 12_00_16_00 16_00_18_00 18_00_20_00 20_00_22_00 22_00_00_00 00_00_6_00,"","","","","After the network, it.discharges in the field",uuid:10f956ce-9155-4c3e-b32d-c0f511277bf2,uuid:10f956ce-9155-4c3e-b32d-c0f511277bf2
05/11/2018 18:37:50,24/10/2018 10:35:15,05/11/2018 18:12:56,refuee_camp,"",washing_areas,"",3.1,24,media\1540370190607.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,other,"",sewage_network,no,"",6_00_8_00 10_00_12_00 8_00_10_00 12_00_16_00 20_00_22_00 16_00_18_00 18_00_20_00 22_00_00_00 00_00_6_00,"","","","","","","","","","","","","","",uuid:67ccc7d0-da57-479f-81fe-de8461d54723,uuid:67ccc7d0-da57-479f-81fe-de8461d54723
05/11/2018 18:37:53,24/10/2018 10:42:28,05/11/2018 18:12:20,refuee_camp,"",water,"",3.1,127,media\1540370592795.jpg,"","","","","","","","","","","","","","","","","","","","","","","",water_distribution_point,"","","","",networlk__comm,"",yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:59df0a32-1209-4afe-99b0-95265f73cc47,uuid:59df0a32-1209-4afe-99b0-95265f73cc47
05/11/2018 18:37:56,24/10/2018 12:38:23,05/11/2018 18:12:06,refuee_camp,"",diesel_group,"","","",media\1540377539866.jpg,"","","","","","","",ACNUR,photovoltaic_solar,"","",private,UNHCR,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:3170d38b-60ff-4743-987f-998766b1440b,uuid:3170d38b-60ff-4743-987f-998766b1440b
05/11/2018 18:40:17,23/10/2018 7:12:53,05/11/2018 18:21:45,host_community,Shimelba,waste_managmen,"","","","","","","","","","","","","","","","","",pick_up_point,yes,option_2,yes,yes,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:1f1bfd4c-cf96-43d2-869d-ea358292034e,uuid:1f1bfd4c-cf96-43d2-869d-ea358292034e
05/11/2018 18:41:03,24/10/2018 10:36:11,24/10/2018 10:41:17,refuee_camp,"",community_showers,"",3.1,125,media\1540370243961.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,water_tank,"",no,free_discharge,no,"",6_00_8_00 8_00_10_00 12_00_16_00,"","","","","",uuid:99a9000f-fc0e-49e0-9b50-78c0de313af0,uuid:99a9000f-fc0e-49e0-9b50-78c0de313af0
05/11/2018 18:59:10,24/10/2018 8:46:55,24/10/2018 10:41:09,refuee_camp,"",diesel_group,"",5.2,108,media\1540363664833.jpg,14.1769295000,37.7255759100,998.4112548828,3.2160000000,"","","",Muslim Mosque,dieses_generatiors,"",10kW,private,Mosque association,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",uuid:cc1f9e10-314d-498c-8fbe-a8f40d19518f,uuid:cc1f9e10-314d-498c-8fbe-a8f40d19518f
05/11/2018 18:59:18,24/10/2018 9:40:39,24/10/2018 9:47:03,refuee_camp,"",community_showers,"",5.1,117,media\1540366892757.jpg,14.1815257500,37.7268124700,1037.4655761719,4.2880000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,other,Jerry Can,no,free_discharge,no,"",6_00_8_00 8_00_10_00 10_00_12_00 16_00_18_00 12_00_16_00 18_00_20_00 20_00_22_00 00_00_6_00 22_00_00_00,"","","","",Always open,uuid:c4d43f01-e05d-400e-a601-5240c33d9494,uuid:c4d43f01-e05d-400e-a601-5240c33d9494
05/11/2018 18:59:19,24/10/2018 9:44:08,24/10/2018 9:45:48,refuee_camp,"",washing_areas,"",5.1,119,media\1540367089852.jpg,14.1814472100,37.7268269500,1026.8839111328,4.2880000000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,other,"",free_discharge,no,"",6_00_8_00 8_00_10_00 10_00_12_00 12_00_16_00 18_00_20_00 16_00_18_00 20_00_22_00 22_00_00_00 00_00_6_00,"","","","","","","","","","","","","","",uuid:da725a3c-fb41-476a-9ef4-0f45e56e7ebb,uuid:da725a3c-fb41-476a-9ef4-0f45e56e7ebb
